Class Name,Description Text,Source
Machine Learning Foundations: A Case Study Approach,"Do you have data and wonder what it can tell you?  Do you need a deeper understanding of the core ways in which machine learning can improve your business?  Do you want to be able to converse with specialists about anything from regression and classification to deep learning and recommender systems? In this course, you will get hands-on experience with machine learning from a series of practical case-studies. At the end of the first course you will have studied how to predict house prices based on house-level features, analyze sentiment from user reviews, retrieve documents of interest, recommend products, and search for images. Through hands-on practice with these use cases, you will be able to apply machine learning methods in a wide range of domains. This first course treats the machine learning method as a black box. Using this abstraction, you will focus on understanding tasks of interest, matching these tasks to machine learning tools, and assessing the quality of the output. In subsequent courses, you will delve into the components of this black box by examining models and algorithms. Together, these pieces form the machine learning pipeline, which you will use in developing intelligent applications.",Coursera
Database Management Essentials,"Database Management Essentials provides the foundation you need for a career in database development, data warehousing, or business intelligence, as well as for the entire Data Warehousing for Business Intelligence specialization. In this course, you will create relational databases, write SQL statements to extract information to satisfy business reporting requests, create entity relationship diagrams (ERDs) to design databases, and analyze table designs for excessive redundancy. As you develop these skills, you will use either Oracle or MySQL to execute SQL statements and a database diagramming tool such as the ER Assistant or Visual Paradigm to create ERDs. We’ve designed this course to ensure a common foundation for specialization learners. Everyone taking the course can jump right in with writing SQL statements in Oracle or MySQL.",Coursera
Introduction to Data Science in Python,"This course will introduce the learner to the basics of the python programming environment, including fundamental python programming techniques such as lambdas, reading and manipulating csv files, and the numpy library. The course will introduce data manipulation and cleaning techniques using the popular python pandas data science library and introduce the abstraction of the Series and DataFrame as the central data structures for data analysis, along with tutorials on how to use functions such as groupby, merge, and pivot tables effectively. By the end of this course, students will be able to take tabular data, clean it, manipulate it, and run basic inferential statistical analyses.",Coursera
Google Cloud Platform Big Data and Machine Learning Fundamentals,"This 1-week accelerated on-demand course introduces participants to the Big Data and Machine Learning capabilities of Google Cloud Platform (GCP). It provides a quick overview of the Google Cloud Platform and a deeper dive of the data processing capabilities. At the end of this course, participants will be able to: Identify the purpose and value of the key Big Data and Machine Learning products in the Google Cloud Platform, Use CloudSQL and Cloud Dataproc to migrate existing MySQL and Hadoop/Pig/Spark/Hive workloads to Google Cloud Platform, Employ BigQuery and Cloud Datalab to carry out interactive data analysis, Choose between Cloud SQL, BigTable and Datastore, Train and use a neural network using TensorFlow, Choose between different data processing products on the Google Cloud Platform",Coursera
Leveraging Unstructured Data with Cloud Dataproc on Google Cloud Platform,"This 1-week, accelerated course builds upon previous courses in the Data Engineering on Google Cloud Platform specialization. Through a combination of video lectures, demonstrations, and hands-on labs, you'll learn how to create and manage computing clusters to run Hadoop, Spark, Pig and/or Hive jobs on Google Cloud Platform.  You will also learn how to access various cloud storage options from their compute clusters and integrate Google’s machine learning capabilities into their analytics programs. In the hands-on labs, you will create and manage Dataproc Clusters using the Web Console and the CLI, and use cluster to run Spark and Pig jobs. You will then create iPython notebooks that integrate with BigQuery and storage and utilize Spark. Finally, you integrate the machine learning APIs into your data analysis.",Coursera
Serverless Data Analysis with Google BigQuery and Cloud Dataflow,"This 1-week, accelerated on-demand course builds upon Google Cloud Platform Big Data and Machine Learning Fundamentals. Through a combination of instructor-led presentations, demonstrations, and hands-on labs, students learn how to carry out no-ops data warehousing, analysis and pipeline processing.",Coursera
"Applied Plotting, Charting & Data Representation in Python","This course will introduce the learner to information visualization basics, with a focus on reporting and charting using the matplotlib library. The course will start with a design and information literacy perspective, touching on what makes a good and bad visualization, and what statistical measures translate into in terms of visualizations. The second week will focus on the technology used to make visualizations in python, matplotlib, and introduce users to best practices when creating basic charts and how to realize design decisions in the framework. The third week will be a tutorial of functionality available in matplotlib, and demonstrate a variety of basic statistical charts helping learners to identify when a particular method is good for a particular problem. The course will end with a discussion of other forms of structuring and visualizing data.",Coursera
Ruby on Rails: An Introduction,"Did you ever want to build a web application?  Perhaps you even started down that path in a language like Java or C#, when you realized that there was so much “climbing the mountain” that you had to do? Maybe you have heard about web services being all the rage, but thought they were too complicated to integrate into your web application. Or maybe you wondered how deploying web applications to the cloud works, but there was too much to set up just to get going. In this course, we will explore how to build web applications with the Ruby on Rails web application framework, which is geared towards rapid prototyping.  Yes, that means building quickly! At the conclusion of this course, you will be able to build a meaningful web application and deploy it to the “cloud” using a Heroku PaaS (Platform as a Service). Best of all, it will almost feel effortless… Really! “But wait”, you will say, “there is no way that we can build a useful application if there is no database involved. You need the data for an application to be useful.” Great point! But what if… instead of getting the data from the database, we get it from the internet by tapping into one of the web services out there that readily provides data needed by our application? “Ok, but that’s probably very complicated”, you will say. Take this course and you will be pleasantly surprised at just how easy it is!",Coursera
Applied Machine Learning in Python,"This course will introduce the learner to applied machine learning, focusing more on the techniques and methods than on the statistics behind these methods. The course will start with a discussion of how machine learning is different than descriptive statistics, and introduce the scikit learn toolkit through a tutorial. The issue of dimensionality of data will be discussed, and the task of clustering data, as well as evaluating those clusters, will be tackled. Supervised approaches for creating predictive models will be described, and learners will be able to apply the scikit learn predictive modelling methods while understanding process issues related to data generalizability (e.g. cross validation, overfitting). The course will end with a look at more advanced techniques, such as building ensembles, and practical limitations of predictive models. By the end of this course, students will be able to identify the difference between a supervised (classification) and unsupervised (clustering) technique, identify which technique they need to apply for a particular dataset and need, engineer features to meet that need, and write python code to carry out an analysis.",Coursera
Data Science Capstone,"The capstone project class will allow students to create a usable/public data product that can be used to show your skills to potential employers. Projects will be drawn from real-world problems and will be conducted with industry, government, and academic partners.",Coursera
Developing Data Products,"A data product is the production output from a statistical analysis. Data products automate complex analysis tasks or use technology to expand the utility of a data informed model, algorithm or inference. This course covers the basics of creating data products using Shiny, R packages, and interactive graphics. The course will focus on the statistical fundamentals of creating a data product that can be used to tell a story about data to a mass audience.",Coursera
Practical Machine Learning,"One of the most common tasks performed by data scientists and data analysts are prediction and machine learning. This course will cover the basic components of building and applying prediction functions with an emphasis on practical applications. The course will provide basic grounding in concepts such as training and tests sets, overfitting, and error rates. The course will also introduce a range of model based and algorithmic machine learning methods including regression, classification trees, Naive Bayes, and random forests. The course will cover the complete process of building prediction functions including data collection, feature creation, algorithms, and evaluation.",Coursera
Regression Models,"Linear models, as their name implies, relates an outcome to a set of predictors of interest using linear assumptions.  Regression models, a subset of linear models, are the most important statistical analysis tool in a data scientist’s toolkit. This course covers regression analysis, least squares and inference using regression models. Special cases of the regression model, ANOVA and ANCOVA will be covered as well. Analysis of residuals and variability will be investigated. The course will cover modern thinking on model selection and novel uses of regression models including scatterplot smoothing.",Coursera
Data Manipulation at Scale: Systems and Algorithms,"Data analysis has replaced data acquisition as the bottleneck to evidence-based decision making --- we are drowning in it.  Extracting knowledge from large, heterogeneous, and noisy datasets requires not only powerful computing resources, but the programming abstractions to use them effectively.  The abstractions that emerged in the last decade blend ideas from parallel databases, distributed systems, and programming languages to create a new class of scalable data analytics platforms that form the foundation for data science at realistic scales. In this course, you will learn the landscape of relevant systems, the principles on which they rely, their tradeoffs, and how to evaluate their utility against your requirements. You will learn how practical systems were derived from the frontier of research in computer science and what systems are coming on the horizon.   Cloud computing, SQL and NoSQL databases, MapReduce and the ecosystem it spawned, Spark and its contemporaries, and specialized systems for graphs and arrays will be covered.",Coursera
Applied Text Mining in Python,"This course will introduce the learner to text mining and text manipulation basics. The course begins with an understanding of how text is handled by python, the structure of text both to the machine and to humans, and an overview of the nltk framework for manipulating text. The second week focuses on common manipulation needs, including regular expressions (searching for text), cleaning text, and preparing text for use by machine learning processes. The third week will apply basic natural language processing methods to text, and demonstrate how text classification is accomplished. The final week will explore more advanced methods for detecting the topics in documents and grouping them by similarity (topic modelling).",Coursera
Applied Social Network Analysis in Python,This course will introduce the learner to network analysis through tutorials using the NetworkX library. The course begins with an understanding of what network analysis is and motivations for why we might model phenomena as networks. The second week introduces the concept of connectivity and network robustness. The third week will explore ways of measuring the importance or centrality of a node in a network. The final week will explore the evolution of networks over time and cover models of network generation and the link prediction problem.,Coursera
Machine Learning,"Machine learning is the science of getting computers to act without being explicitly programmed. In the past decade, machine learning has given us self-driving cars, practical speech recognition, effective web search, and a vastly improved understanding of the human genome. Machine learning is so pervasive today that you probably use it dozens of times a day without knowing it. Many researchers also think it is the best way to make progress towards human-level AI. In this class, you will learn about the most effective machine learning techniques, and gain practice implementing them and getting them to work for yourself. More importantly, you'll learn about not only the theoretical underpinnings of learning, but also gain the practical know-how needed to quickly and powerfully apply these techniques to new problems. Finally, you'll learn about some of Silicon Valley's best practices in innovation as it pertains to machine learning and AI. This course provides a broad introduction to machine learning, datamining, and statistical pattern recognition. Topics include: (i) Supervised learning (parametric/non-parametric algorithms, support vector machines, kernels, neural networks). (ii) Unsupervised learning (clustering, dimensionality reduction, recommender systems, deep learning). (iii) Best practices in machine learning (bias/variance theory; innovation process in machine learning and AI). The course will also draw from numerous case studies and applications, so that you'll also learn how to apply learning algorithms to building smart robots (perception, control), text understanding (web search, anti-spam), computer vision, medical informatics, audio, database mining, and other areas.",Coursera
Neural Networks and Deep Learning,"If you want to break into cutting-edge AI, this course will help you do so. Deep learning engineers are highly sought after, and mastering deep learning will give you numerous new career opportunities. Deep learning is also a new ""superpower"" that will let you build AI systems that just weren't possible a few years ago. In this course, you will learn the foundations of deep learning. When you finish this class, you will: Understand the major technology trends driving Deep Learning, Be able to build, train and apply fully connected deep neural networks, Know how to implement efficient (vectorized) neural networks, Understand the key parameters in a neural network's architecture. This course also teaches you how Deep Learning actually works, rather than presenting only a cursory or surface-level description. So after completing it, you will be able to apply deep learning to a your own applications. If you are looking for a job in AI, after this course you will also be able to answer basic interview questions. ",Coursera
"Improving Deep Neural Networks: Hyperparameter tuning, Regularization and Optimization","This course will teach you the ""magic"" of getting deep learning to work well. Rather than the deep learning process being a black box, you will understand what drives performance, and be able to more systematically get good results. You will also learn TensorFlow. After 3 weeks, you will: Understand industry best-practices for building deep learning applications, Be able to effectively use the common neural network ""tricks"", including initialization, L2 and dropout regularization, Batch normalization, gradient checking, Be able to implement and apply a variety of optimization algorithms, such as mini-batch gradient descent, Momentum, RMSprop and Adam, and check for their convergence, Understand new best-practices for the deep learning era of how to set up train/dev/test sets and analyze bias/variance, Be able to implement a neural network in TensorFlow. ",Coursera
Structuring Machine Learning Projects,"You will learn how to build a successful machine learning project. If you aspire to be a technical leader in AI, and know how to set direction for your team's work, this course will show you how. Much of this content has never been taught elsewhere, and is drawn from my experience building and shipping many deep learning products. This course also has two ""flight simulators"" that let you practice decision-making as a machine learning project leader. This provides ""industry experience"" that you might otherwise get only after years of ML work experience. After 2 weeks, you will: Understand how to diagnose errors in a machine learning system, and Be able to prioritize the most promising directions for reducing error, Understand complex ML settings, such as mismatched training/test sets, and comparing to and/or surpassing human-level performance, Know how to apply end-to-end learning, transfer learning, and multi-task learning",Coursera
Convolutional Neural Networks,"This course will teach you how to build convolutional neural networks and apply it to image data. Thanks to deep learning, computer vision is working far better than just two years ago, and this is enabling numerous exciting applications ranging from safe autonomous driving, to accurate face recognition, to automatic reading of radiology images. You will: Understand how to build a convolutional neural network, including recent variations such as residual networks, Know how to apply convolutional networks to visual detection and recognition tasks, Know to use neural style transfer to generate art, Be able to apply these algorithms to a variety of image, video, and other 2D or 3D data.",Coursera
Sequence Models,"This course will teach you how to build models for natural language, audio, and other sequence data. Thanks to deep learning, sequence algorithms are working far better than just two years ago, and this is enabling numerous exciting applications in speech recognition, music synthesis, chatbots, machine translation, natural language understanding, and many others. You will: Understand how to build and train Recurrent Neural Networks (RNNs), and commonly-used variants such as GRUs and LSTMs. Be able to apply sequence models to natural language problems, including text synthesis. Be able to apply sequence models to audio applications, including speech recognition and music synthesis.",Coursera
AWS Essentials,"AWS Essentials is a course for those who are completely new to AWS. No prior AWS experience is required. We will introduce you to AWS, provide an overview of the core AWS services, and walk you through the process of setting up your own AWS account. Your learning will be reinforced with real-world scenario hands-on activities using our Live Environment, and quizzes will be used to help check your understanding of the presented topics.",Linux Academy
AWS Certified Cloud Practitioner,"Welcome to the AWS Certified Cloud Practitioner course. Are you a business professional, accountant, salesperson, or some other type of non-technical person that works in the tech industry? Have you always wanted to know what cloud computing is, how it works, and what it's used for — without all the technical jargon? If you answered YES, then the Certified Cloud Practitioner course and exam are perfect for you. As the cloud computing industry continues to grow, understanding its concepts, purpose, and use cases will become an increasingly valuable skill among non-IT individuals and employees. With that in mind, AWS created an exam that covers the very basics of their cloud computing platform, and that tests you on basic AWS services, benefits, concepts, and use cases. All without having to know detailed technical terms, concepts, and know-how. For all those who want to learn these basics, this course has been designed with two main objectives in mind: (1) Prepare you to pass the AWS Certified Cloud Practitioner exam, and (2) learn the foundations of cloud computing and AWS, including its primary services, benefits, and use cases. This course is NOT designed to teach you how to build and run applications on AWS. This course is all about conceptual understanding. If you are looking for an introduction to AWS course from a hands-on/cloud engineering perspective, please see our AWS Essentials course.",Linux Academy
Google Cloud Essentials,"This course is designed for those who want to learn about Google Cloud: what cloud computing is, the overall advantages Google Cloud offers, and detailed explanation of all major services - what they are, their use cases, and how to use them.",Linux Academy
DevOps Essentials,This course provides a basic introduction to the concept of DevOps. It seeks to give the student a working knowledge of what DevOps is and how it impacts IT in the real world. This course explains the culture of DevOps as well as some of the main practices and tools associated with DevOps. It also introduces the student to the close relationship between DevOps and the cloud.,Linux Academy
LPI Linux Essentials,"This course teaches the basic concepts of processes, programs and the components of the Linux operating system. You learn the basic knowledge of computer hardware, gain an understanding of open source applications in the workplace, and learn to navigate systems on a Linux desktop rudimentary commands to navigate the Linux command line.   This course is a prep course for the Linux Essentials exam from Linux Professional Institute and is meant to help those without Linux experience to pass their first Linux certification. This course covers objectives for the LPI Essentials exam version 1.5.",Linux Academy
Big Data Essentials,"Big Data Essentials is a comprehensive introduction to the world of Big Data. Starting with the definition of Big Data, we describe the various characteristics of Big Data and its sources. Using real world examples, we highlight the growing importance of Big Data. We discuss architectural requirements and principles of Big Data infrastructures and the intersection of cloud computing with Big Data. We also provide an overview of the most popular Big Data technologies including core Hadoop, the Hadoop ecosystem (Hive, Pig, Sqoop, Flume, Kafka, Storm, Ambari, Oozie, Zookeeper), NoSQL databases and Apache Spark. We conclude this lesson with a tour of the different types of Analytics that can be performed on Big Data and various techniques and tools used.",Linux Academy
Cloud Migration Fundamentals,"This course covers the fundamentals of cloud migrations. The student is guided through lessons covering legacy infrastructure and applications architectures, as well as advanced cloud computing architectures. This course provides best-practice for governance and frameworks for accelerating the adoption of public, private and hybrid cloud.",Linux Academy
AWS Certified Solutions Architect - Associate Level,Welcome to Linux Academy's all new AWS Certified Solutions Architect - Associate prep course. This course prepares you to take the AWS Solutions Artchitect Certification exam released February 2018.  This course has been developed to provide you with the requisite knowledge to not only pass the AWS CSA certification exam but also gain the hands-on experience required to become a qualified AWS Solutions architect working in a real-world environment.,Linux Academy
AWS Certified Developer - Associate Level,Welcome to Linux Academy's AWS Certified Developer Associate course. This course was developed to provide you with the requisite knowledge to not only pass the AWS CDA certification exam but also gain the hands-on experience required to become a qualified AWS Developer working in real-world AWS environments.,Linux Academy
AWS Certified SysOps Administrator - Associate Level,"The AWS Certified SysOps Administrator- Associate is a certification based around administering applications on AWS from an operations viewpoint. Although there are some deployment topics, this certification deals more with decisions we must make in our environments based on information we receive from monitoring, auditing, and any performance feedback we gather. This course has been developed to provide you with the requisite knowledge to not only pass the AWS SysOps Administrator certification exam but also gain the hands-on experience required to become a qualified AWS Systems Operator working in a real-world environment.",Linux Academy
Learn AWS By Doing,This course is designed to learn AWS 100% hands-on. You will be emersed in the world of AWS and working soley within an AWS environment at all times. You will quickly start to understand and master AWS the hard way!,Linux Academy
Amazon ECS Deep Dive,"This course will explore Amazon Elastic Container Service (ECS) from the very basics of its configuration to an in-depth review of its use cases and advanced features. We will talk about how ECS is architected in order to provide a better understanding of how to manage container-based applications at scale. Once we have a solid foundation of the basics, we will dive into the advanced use cases to uncover the power of ECS.",Linux Academy
AWS IAM (Identity and Access Management) - Deep Dive,"This course will give the student an in-depth experience with Identity and Access Management. The course will start off covering basic concepts, such as root account management, and continue to build on this initial foundation. The student can use their own AWS account to follow along with the lessons in configuring a small (fictitious) company with Identity and Access Management. At the end of the course, the student will have gained extensive experience in configuring a company of any size in Identity and Access Managment.",Linux Academy
